timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2018-01-01,0.0,1000.0,0.0,1000.0,0.0
2018-01-02,0.0,1000.0,0.0,1037.2845160869608,-0.03728451608696085
2018-01-03,0.0,1000.0,0.0,1063.411309962318,-0.0251876832924466
2018-01-04,0.0,1000.0,0.0,1063.179329736505,0.00021814722454007094
2018-01-05,0.0,1000.0,0.0,1180.9507466126854,-0.11077286171973297
2018-01-06,0.0,1000.0,0.0,1277.2618525413204,-0.08155387191623682
2018-01-07,0.0,1000.0,0.0,1256.707795354817,0.016092281426559323
2018-01-08,0.0,1000.0,0.0,1238.689939319059,0.014337347235656257
2018-01-09,0.0,1000.0,0.0,1251.4868244826612,-0.010330983369927755
2018-01-10,0.0,1000.0,0.0,1252.727120826144,-0.0009910582510492022
2018-01-11,0.0,1000.0,0.0,1255.0514413883814,-0.0018554085112360325
2018-01-12,0.0,1000.0,0.0,1288.3688588469545,-0.026546654869952002
2018-01-13,0.0,1000.0,0.0,1312.9027652810403,-0.01904261055800665
2018-01-14,0.0,1000.0,0.0,1284.2844184339947,0.02179776568672195
2018-01-15,0.0,1000.0,0.0,1264.8201280651897,0.015155747503764836
2018-01-16,0.0,1000.0,0.0,1133.6989504082462,0.10366784552798118
2018-01-17,0.0,1000.0,0.0,1147.2905262125398,-0.01198869929217047
2018-01-18,0.0,1000.0,0.0,1145.2134184947747,0.0018104461514400563
2018-01-19,0.0,1000.0,0.0,1168.5206981336667,-0.02035190931444578
2018-01-20,0.0,1000.0,0.0,1220.9370719197623,-0.044857034941541016
2018-01-21,0.0,1000.0,0.0,1165.954639811617,0.04503297784356137
2018-01-22,0.0,1000.0,0.0,1131.521824232022,0.029531865480768933
2018-01-23,0.0,1000.0,0.0,1132.3999890538016,-0.0007760918110224026
2018-01-24,0.0,1000.0,0.0,1162.63767185453,-0.026702298739859614
2018-01-25,0.0,1000.0,0.0,1152.043892698261,0.00911184921384045
2018-01-26,0.0,1000.0,0.0,1149.2182434119384,0.0024527271089510106
2018-01-27,0.0,1000.0,0.0,1169.0978390404869,-0.017298364120575886
2018-01-28,0.0,1000.0,0.0,1199.2651754639546,-0.025803945072917975
2018-01-29,0.0,1000.0,0.0,1168.011391889063,0.0260607780616999
2018-01-30,0.0,1000.0,0.0,1122.5589607852573,0.03891437311265771
