timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2023-01-01,0.0,1000.0,0.0,1000.0,0.0
2023-01-02,0.0,1000.0,0.0,1031.0704959071227,-0.031070495907122693
2023-01-03,0.0,1000.0,0.0,1059.425246988523,-0.02750030302870245
2023-01-04,0.0,1000.0,0.0,1094.6554713584499,-0.0332540917540625
2023-01-05,0.0,1000.0,0.0,1084.7230783194366,0.009073533453121325
2023-01-06,0.0,1000.0,0.0,1099.6002825053556,-0.013715209423743855
2023-01-07,0.0,1000.0,0.0,1093.638333629622,0.0054219237395520025
2023-01-08,0.0,1000.0,0.0,1139.395991985179,-0.041839844991254385
2023-01-09,0.0,1000.0,0.0,1176.3592592981488,-0.032441107018964
2023-01-10,0.0,1000.0,0.0,1194.2492456311593,-0.0152079275031031
2023-01-11,0.0,1000.0,0.0,1265.5828033376401,-0.059730879435289985
2023-01-12,0.0,1000.0,0.0,1282.114670325198,-0.01306265140768294
2023-01-13,0.0,1000.0,0.0,1340.5285950414232,-0.045560608632150626
2023-01-14,0.0,1000.0,0.0,1453.431855164028,-0.08422294051781577
2023-01-15,0.0,1000.0,0.0,1430.9699976085747,0.015454358919991236
2023-01-16,0.0,1000.0,0.0,1440.8866125208115,-0.006929994988580791
2023-01-17,0.0,1000.0,0.0,1435.3869299677337,0.0038168739339289643
2023-01-18,0.0,1000.0,0.0,1365.1266511894532,0.04894866834259098
2023-01-19,0.0,1000.0,0.0,1404.0174025425522,-0.028488749611043845
2023-01-20,0.0,1000.0,0.0,1521.217831514638,-0.08347505434038473
2023-01-21,0.0,1000.0,0.0,1495.429221315415,0.016952608406874754
2023-01-22,0.0,1000.0,0.0,1503.2444949150242,-0.005226107319699683
2023-01-23,0.0,1000.0,0.0,1526.957296043614,-0.01577441408154299
2023-01-24,0.0,1000.0,0.0,1468.20364824753,0.03847759721134062
2023-01-25,0.0,1000.0,0.0,1523.3030460507105,-0.03752844359769008
2023-01-26,0.0,1000.0,0.0,1521.316849624616,0.0013038747813469381
2023-01-27,0.0,1000.0,0.0,1569.9579622175365,-0.03197303218256126
2023-01-28,0.0,1000.0,0.0,1546.2987589111028,0.015069959754218844
2023-01-29,0.0,1000.0,0.0,1607.3676899814961,-0.039493617076559025
2023-01-30,0.0,1000.0,0.0,1522.4954079162214,0.052802033159103576
2023-01-31,0.0,1000.0,0.0,1548.8324343870563,-0.017298591729009796
2023-02-01,0.0,1000.0,0.0,1596.788725083979,-0.030962865725304173
2023-02-02,0.0,1000.0,0.0,1594.7597520627228,0.0012706584092077985
2023-02-03,0.0,1000.0,0.0,1612.5574422138573,-0.011160107425657302
2023-02-04,0.0,1000.0,0.0,1600.8299585936677,0.007272598986668798
2023-02-05,0.0,1000.0,0.0,1560.5721019194325,0.02514811548729485
2023-02-06,0.0,1000.0,0.0,1532.0098610789341,0.018302416662048588
2023-02-07,0.0,1000.0,0.0,1591.3244246684117,-0.03871682885102617
2023-02-08,0.0,1000.0,0.0,1562.8325279156084,0.01790451796700124
2023-02-09,0.0,1000.0,0.0,1444.542661556254,0.07568940641203616
2023-02-10,0.0,1000.0,0.0,1430.9001865856706,0.009444148195586033
2023-02-11,0.0,1000.0,0.0,1456.0367199413397,-0.01756693694732722
2023-02-12,0.0,1000.0,0.0,1450.603468332569,0.0037315347438418973
2023-02-13,0.0,1000.0,0.0,1423.2124167535676,0.018882521775910814
2023-02-14,0.0,1000.0,0.0,1473.5482129760378,-0.035367732623700174
2023-02-15,0.0,1000.0,0.0,1593.4124701200828,-0.08134396695576217
2023-02-16,0.0,1000.0,0.0,1513.822444798493,0.04994941787771475
2023-02-17,0.0,1000.0,0.0,1570.775641768681,-0.0376221116062054
2023-02-18,0.0,1000.0,0.0,1578.7019915982146,-0.005046137474227996
2023-02-19,0.0,1000.0,0.0,1578.556814634654,9.19597012819676e-05
2023-02-20,0.0,1000.0,0.0,1623.7172574406825,-0.028608690157585746
2023-02-21,0.0,1000.0,0.0,1591.4821174890944,0.019852680510643372
2023-02-22,0.0,1000.0,0.0,1572.566207384331,0.011885719542113038
2023-02-23,0.0,1000.0,0.0,1551.5783348211603,0.013346256879117438
2023-02-24,0.0,1000.0,0.0,1496.6306164889222,0.03541407939198338
2023-02-25,0.0,1000.0,0.0,1480.4603952586397,0.010804416969778328
2023-02-26,0.0,1000.0,0.0,1513.0045743314774,-0.021982471923642586
2023-02-27,0.0,1000.0,0.0,1495.119979957736,0.011820581825830774
2023-02-28,0.0,1000.0,0.0,1459.641567205198,0.02372947537865214
2023-03-01,0.0,1000.0,0.0,1495.9549079118278,-0.024878258829090148
2023-03-02,0.0,1000.0,0.0,1472.4823288485295,0.015690699592050654
2023-03-03,0.0,1000.0,0.0,1426.3484643813176,0.03133067444231298
2023-03-04,0.0,1000.0,0.0,1408.851588793807,0.012266901128610222
2023-03-05,0.0,1000.0,0.0,1405.2363686198216,0.002566075946353132
2023-03-06,0.0,1000.0,0.0,1403.668331431101,0.0011158529794249108
2023-03-07,0.0,1000.0,0.0,1400.1904366804238,0.0024777183276131686
2023-03-08,0.0,1000.0,0.0,1355.9839609075095,0.03157175953702353
2023-03-09,0.0,1000.0,0.0,1291.1420393926912,0.04781909180652994
2023-03-10,0.0,1000.0,0.0,1304.5182564454797,-0.010359988788747063
2023-03-11,0.0,1000.0,0.0,1298.7473998745545,0.004423745349987985
2023-03-12,0.0,1000.0,0.0,1396.640268972424,-0.07537483355679878
2023-03-13,0.0,1000.0,0.0,1455.5610462945458,-0.04218751143805458
2023-03-14,0.0,1000.0,0.0,1476.9573877173111,-0.014699721098771157
2023-03-15,0.0,1000.0,0.0,1410.8043727610652,0.04479006334670743
2023-03-16,0.0,1000.0,0.0,1446.713589829021,-0.025453009475493955
2023-03-17,0.0,1000.0,0.0,1554.8039635596722,-0.0747144248112205
2023-03-18,0.0,1000.0,0.0,1518.2018630517352,0.02354129611564504
2023-03-19,0.0,1000.0,0.0,1558.7934297457764,-0.026736607088893916
2023-03-20,0.0,1000.0,0.0,1524.1297905685174,0.02223748093608034
2023-03-21,0.0,1000.0,0.0,1632.1110760358092,-0.07084782814133803
2023-03-22,0.0,1000.0,0.0,1555.9538877560403,0.04666176793845741
2023-03-23,0.0,1000.0,0.0,1617.931230721433,-0.0398323777157527
2023-03-24,0.0,1000.0,0.0,1557.6099559258116,0.03728296583330305
2023-03-25,0.0,1000.0,0.0,1557.2354074657146,0.00024046357605257893
2023-03-26,0.0,1000.0,0.0,1583.7317594594392,-0.017014994564531007
2023-03-27,0.0,1000.0,0.0,1546.8034173338717,0.023317295940426006
2023-03-28,0.0,1000.0,0.0,1596.9311897519328,-0.03240733234509092
2023-03-29,0.0,1000.0,0.0,1644.9417397172638,-0.030064257166139426
2023-03-30,0.0,1000.0,0.0,1629.495868582134,0.009389919875086004
2023-03-31,0.0,1000.0,0.0,1666.892899330271,-0.0229500617149015
2023-04-01,0.0,1000.0,0.0,1649.0925085062165,0.010678784960453238
2023-04-02,0.0,1000.0,0.0,1626.6097615725512,0.013633405535284757
2023-04-03,0.0,1000.0,0.0,1612.8639095696196,0.00845061447906397
2023-04-04,0.0,1000.0,0.0,1641.9925950714248,-0.01806022524837712
2023-04-05,0.0,1000.0,0.0,1657.4885041667515,-0.009437258817024492
2023-04-06,0.0,1000.0,0.0,1639.3510295829242,0.010942745327181314
2023-04-07,0.0,1000.0,0.0,1633.7645150926776,0.0034077597716626645
2023-04-08,0.0,1000.0,0.0,1623.3044845422864,0.006402410172189232
2023-04-09,0.0,1000.0,0.0,1636.204553371984,-0.007946795534994841
2023-04-10,0.0,1000.0,0.0,1680.3780917113434,-0.026997564728886765
2023-04-11,0.0,1000.0,0.0,1714.1219289859396,-0.020081098082057585
2023-04-12,0.0,1000.0,0.0,1720.1117013057074,-0.003494367710068042
2023-04-13,0.0,1000.0,0.0,1770.3144380311376,-0.02918574223250852
2023-04-14,0.0,1000.0,0.0,1806.186544676179,-0.020263127201818807
2023-04-15,0.0,1000.0,0.0,1804.4650832726375,0.0009530916995342491
2023-04-16,0.0,1000.0,0.0,1848.4143640691482,-0.024355849943520563
2023-04-17,0.0,1000.0,0.0,1810.7786512788475,0.020361080027233944
2023-04-18,0.0,1000.0,0.0,1852.8805439007783,-0.023250711837251137
2023-04-19,0.0,1000.0,0.0,1714.2344082023783,0.07482734715672226
2023-04-20,0.0,1000.0,0.0,1676.5826046765367,0.021964209413650182
2023-04-21,0.0,1000.0,0.0,1606.8445137513095,0.04159538022803343
2023-04-22,0.0,1000.0,0.0,1651.591235127049,-0.02784757392068677
2023-04-23,0.0,1000.0,0.0,1630.7637196382584,0.012610575211237667
2023-04-24,0.0,1000.0,0.0,1623.188828844563,0.004644995901292097
2023-04-25,0.0,1000.0,0.0,1664.5127007730996,-0.025458450177945156
2023-04-26,0.0,1000.0,0.0,1647.1241502505127,0.010446631326099529
2023-04-27,0.0,1000.0,0.0,1688.0783360677333,-0.0248640552146551
2023-04-28,0.0,1000.0,0.0,1691.4124117718754,-0.001975071673455897
2023-04-29,0.0,1000.0,0.0,1686.9362359070653,0.002646413041347432
2023-04-30,0.0,1000.0,0.0,1675.9706918828176,0.006500271789082491
2023-05-01,0.0,1000.0,0.0,1632.3170396568273,0.026046787355779318
2023-05-02,0.0,1000.0,0.0,1645.79181553353,-0.008254999212368433
2023-05-03,0.0,1000.0,0.0,1662.179846785021,-0.009957535999884994
2023-05-04,0.0,1000.0,0.0,1641.1456397678426,0.012654591534040536
2023-05-05,0.0,1000.0,0.0,1688.3050625175135,-0.02873567196409334
2023-05-06,0.0,1000.0,0.0,1633.0013169986066,0.03275696243926483
2023-05-07,0.0,1000.0,0.0,1614.3770210523714,0.011404948515574942
2023-05-08,0.0,1000.0,0.0,1558.0299020717503,0.0349033207521064
2023-05-09,0.0,1000.0,0.0,1554.2021356984405,0.002456799043599792
2023-05-10,0.0,1000.0,0.0,1565.0796101843537,-0.006998751472584283
2023-05-11,0.0,1000.0,0.0,1522.6212189106852,0.02712858246787034
2023-05-12,0.0,1000.0,0.0,1546.422495248554,-0.01563177764913632
2023-05-13,0.0,1000.0,0.0,1534.7670004632523,0.007537070122242489
2023-05-14,0.0,1000.0,0.0,1544.7137675962497,-0.0064809623415118854
2023-05-15,0.0,1000.0,0.0,1549.6282997922174,-0.0031815164071562646
2023-05-16,0.0,1000.0,0.0,1550.7880643492376,-0.0007484146728449056
2023-05-17,0.0,1000.0,0.0,1571.1847706040508,-0.013152478229429792
2023-05-18,0.0,1000.0,0.0,1548.404389365779,0.01449885568169911
2023-05-19,0.0,1000.0,0.0,1552.1037274044145,-0.002389129134509108
2023-05-20,0.0,1000.0,0.0,1553.7286317963938,-0.0010469045098527863
2023-05-21,0.0,1000.0,0.0,1525.0164271607396,0.018479549161977946
2023-05-22,0.0,1000.0,0.0,1540.6423330495186,-0.01024638529164639
2023-05-23,0.0,1000.0,0.0,1560.368084109109,-0.012803588890450588
2023-05-24,0.0,1000.0,0.0,1513.9141643693738,0.029771129141146196
2023-05-25,0.0,1000.0,0.0,1511.1426158407257,0.0018307170867924835
2023-05-26,0.0,1000.0,0.0,1531.9317885072915,-0.013757253914118226
2023-05-27,0.0,1000.0,0.0,1553.4304276111518,-0.014033679087505873
2023-05-28,0.0,1000.0,0.0,1601.713823396596,-0.03108178836157733
2023-05-29,0.0,1000.0,0.0,1589.8221152285846,0.0074243650734023515
2023-05-30,0.0,1000.0,0.0,1608.874812496953,-0.011984169226145758
2023-05-31,0.0,1000.0,0.0,1584.1116059637916,0.01539163043688225
2023-06-01,0.0,1000.0,0.0,1563.7457540374703,0.012856323916603296
2023-06-02,0.0,1000.0,0.0,1605.4473618108764,-0.02666776722861489
2023-06-03,0.0,1000.0,0.0,1598.6066576014784,0.004260933352359886
2023-06-04,0.0,1000.0,0.0,1616.0123662224335,-0.010888049626335525
2023-06-05,0.0,1000.0,0.0,1512.1702605281607,0.0642582370437008
2023-06-06,0.0,1000.0,0.0,1562.7248433015325,-0.03343180598970002
2023-06-07,0.0,1000.0,0.0,1479.1917096420311,0.05345351359681653
2023-06-08,0.0,1000.0,0.0,1488.1943097749745,-0.0060861618370767435
2023-06-09,0.0,1000.0,0.0,1454.2901142213714,0.02278210266690896
2023-06-10,0.0,1000.0,0.0,1342.3286230909168,0.07698703995550361
2023-06-11,0.0,1000.0,0.0,1342.0001507110835,0.00024470340137507297
2023-06-12,0.0,1000.0,0.0,1335.5205900633996,0.004828286080482596
2023-06-13,0.0,1000.0,0.0,1346.9942049461215,-0.00859111792666345
2023-06-14,0.0,1000.0,0.0,1289.3651892403473,0.04278341769709342
2023-06-15,0.0,1000.0,0.0,1296.6995002130252,-0.0056883116078224605
2023-06-16,0.0,1000.0,0.0,1318.310431109702,-0.016666105673000215
2023-06-17,0.0,1000.0,0.0,1333.8012906702945,-0.011750540081483685
2023-06-18,0.0,1000.0,0.0,1323.429209500629,0.007776331633667232
2023-06-19,0.0,1000.0,0.0,1342.5511632156956,-0.014448792257110583
2023-06-20,0.0,1000.0,0.0,1384.8962158731795,-0.03154073663461611
2023-06-21,0.0,1000.0,0.0,1442.3196922543464,-0.04146410086402134
2023-06-22,0.0,1000.0,0.0,1421.942409052365,0.014128132141170178
2023-06-23,0.0,1000.0,0.0,1454.7459924938632,-0.023069558396081317
2023-06-24,0.0,1000.0,0.0,1425.4649328270862,0.020127953483192566
2023-06-25,0.0,1000.0,0.0,1443.9687604499522,-0.01298090692849807
2023-06-26,0.0,1000.0,0.0,1410.2017016077414,0.0233848956896332
2023-06-27,0.0,1000.0,0.0,1429.2337882207125,-0.013496003154210559
2023-06-28,0.0,1000.0,0.0,1368.9916916987736,0.04214992467882782
2023-06-29,0.0,1000.0,0.0,1416.3389757648627,-0.03458551600655513
2023-06-30,0.0,1000.0,0.0,1455.0584635784967,-0.02733772668560825
2023-07-01,0.0,1000.0,0.0,1463.1262175512932,-0.00554462530182804
2023-07-02,0.0,1000.0,0.0,1478.6235293981722,-0.010591917266588036
2023-07-03,0.0,1000.0,0.0,1489.835698439689,-0.007582842297985337
